,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
0,2018-01-26,442.559998,442.559998,442.559998,442.559998,442.559998,0
1,2018-01-29,467.200012,473.279999,467.200012,473.279999,473.279999,88
2,2018-01-30,492.640015,508.959991,487.839996,488.799988,488.799988,3956
3,2018-01-31,479.359985,490.880005,479.359985,490.399994,490.399994,575
4,2018-02-01,482.399994,482.399994,462.720001,465.712006,465.712006,675
5,2018-02-02,480.640015,532.799988,480.480011,525.599976,525.599976,1825
6,2018-02-05,543.039978,709.919983,522.080017,701.76001,701.76001,3269
7,2018-02-06,736.0,929.599976,689.856018,689.856018,689.856018,775
8,2018-02-07,699.840027,721.440002,670.719971,712.640015,712.640015,1738
9,2018-02-08,726.880005,882.880005,725.76001,882.880005,882.880005,6300
10,2018-02-09,795.52002,902.400024,784.0,804.47998,804.47998,2781
11,2018-02-12,772.47998,801.280029,768.0,776.799988,776.799988,913
12,2018-02-13,780.960022,784.960022,761.599976,767.52002,767.52002,2288
13,2018-02-14,757.119995,757.280029,677.119995,679.679993,679.679993,5581
14,2018-02-15,656.47998,685.440002,654.159973,664.0,664.0,844
15,2018-02-16,675.200012,683.840027,648.960022,673.919983,673.919983,1163
16,2018-02-20,691.200012,714.880005,686.23999,701.440002,701.440002,2744
17,2018-02-21,694.559998,712.640015,657.280029,712.0,712.0,8919
18,2018-02-22,691.840027,712.159973,684.799988,702.719971,702.719971,3488
19,2018-02-23,680.320007,685.76001,647.52002,647.840027,647.840027,3475
20,2018-02-26,629.119995,632.159973,619.200012,628.47998,628.47998,256
21,2018-02-27,626.736023,681.919983,626.736023,678.559998,678.559998,4344
22,2018-02-28,661.119995,709.280029,659.200012,706.559998,706.559998,4519
23,2018-03-01,701.119995,789.119995,701.119995,755.200012,755.200012,2831
24,2018-03-02,794.880005,808.320007,721.919983,721.919983,721.919983,3494
25,2018-03-05,735.52002,735.52002,688.640015,695.359985,695.359985,2194
26,2018-03-06,689.919983,720.159973,689.919983,699.039978,699.039978,1313
27,2018-03-07,712.0,712.0,688.47998,688.640015,688.640015,200
28,2018-03-08,681.280029,681.599976,681.280029,681.440002,681.440002,3488
29,2018-03-09,645.119995,645.119995,612.0,612.0,612.0,925
30,2018-03-12,622.719971,640.0,622.719971,636.159973,636.159973,119
31,2018-03-13,641.280029,651.359985,641.280029,651.359985,651.359985,100
32,2018-03-14,647.840027,671.52002,647.840027,665.599976,665.599976,1500
33,2018-03-15,644.159973,651.039978,644.159973,647.039978,647.039978,50
34,2018-03-16,628.799988,628.799988,628.799988,628.799988,628.799988,63
35,2018-03-19,645.119995,722.880005,645.119995,693.919983,693.919983,1088
36,2018-03-20,689.280029,689.280029,680.640015,680.640015,680.640015,119
37,2018-03-21,671.359985,673.919983,636.799988,655.840027,655.840027,956
38,2018-03-22,722.559998,760.47998,694.880005,755.200012,755.200012,1725
39,2018-03-23,752.640015,800.320007,728.320007,800.0,800.0,1956
40,2018-03-26,754.23999,787.52002,740.799988,740.799988,740.799988,2113
41,2018-03-27,740.799988,809.599976,740.799988,796.47998,796.47998,2113
42,2018-03-28,819.679993,824.0,801.52002,801.52002,801.52002,3281
43,2018-03-29,784.0,784.0,784.0,784.0,784.0,25
44,2018-04-02,778.559998,854.719971,775.039978,829.440002,829.440002,281
45,2018-04-03,808.960022,818.719971,793.919983,793.919983,793.919983,38
46,2018-04-04,841.919983,843.52002,776.640015,778.880005,778.880005,175
47,2018-04-05,757.919983,757.919983,757.919983,757.919983,757.919983,125
48,2018-04-06,766.559998,827.200012,766.559998,796.799988,796.799988,56
49,2018-04-09,796.799988,796.799988,796.799988,796.799988,796.799988,63
