10/1/15,0.06
10/2/15,0.01
10/3/15,0.01
10/4/15,0
10/5/15,0
10/6/15,0
10/7/15,0.01
10/8/15,0
10/9/15,0
10/10/15,0
10/11/15,0
10/12/15,0
10/13/15,0
10/14/15,0
10/15/15,0.02
10/16/15,0
10/17/15,0
10/18/15,0
10/19/15,0.01
10/20/15,0
10/21/15,0
10/22/15,0.01
10/23/15,0.01
10/24/15,0
10/25/15,0
10/26/15,0
10/27/15,0
10/28/15,0.01
10/29/15,0
10/30/15,0
10/31/15,0
11/1/15,0
11/2/15,1.02
11/3/15,0.01
11/4/15,0
11/5/15,0
11/6/15,0.01
11/7/15,0
11/8/15,0.11
11/9/15,0.35
11/10/15,0
11/11/15,0.01
11/12/15,0
11/13/15,0.01
11/14/15,0
11/15/15,0.56
11/16/15,0
11/17/15,0
11/18/15,0
11/19/15,0.01
11/20/15,0
11/21/15,0
11/22/15,0.01
11/23/15,0
11/24/15,0.32
11/25/15,0.08
11/26/15,0
11/27/15,0
11/28/15,0.01
11/29/15,0
11/30/15,0
12/1/15,0
12/2/15,0.01
12/3/15,1.2
12/4/15,0
12/5/15,0.01
12/6/15,0
12/7/15,0
12/8/15,0.01
12/9/15,0.01
12/10/15,1.06
12/11/15,0.24
12/12/15,0.01
12/13/15,1.24
12/14/15,0.01
12/15/15,0.01
12/16/15,0.01
12/17/15,0.01
12/18/15,0.24
12/19/15,0.08
12/20/15,0.65
12/21/15,1.8
12/22/15,0.88
12/23/15,0
12/24/15,0.33
12/25/15,0.02
12/26/15,0.01
12/27/15,0.03
12/28/15,0.12
12/29/15,0.01
12/30/15,0.01
12/31/15,0
1/1/16,0.01
1/2/16,0.12
1/3/16,1.8
1/4/16,4.8
1/5/16,0
1/6/16,0
1/7/16,1.12
1/8/16,3.3
1/9/16,2.7
1/10/16,0.96
1/11/16,2.05
1/12/16,0.58
1/13/16,0
1/14/16,0
1/15/16,0
1/16/16,0
1/17/16,0.06
1/18/16,2.38
1/19/16,3.38
1/20/16,0.33
1/21/16,2.85
1/22/16,0.8
1/23/16,0.13
1/24/16,0
1/25/16,0
1/26/16,0
1/27/16,0
1/28/16,0
1/29/16,0
1/30/16,0
1/31/16,0
2/1/16,0
2/2/16,1.35
2/3/16,1.1
2/4/16,0.51
2/5/16,0.12
2/6/16,1.11
2/7/16,5.3
2/8/16,0.7
2/9/16,3.15
2/10/16,0.3
2/11/16,0
2/12/16,0
2/13/16,0
2/14/16,0
2/15/16,0
2/16/16,1.21
2/17/16,1.35
2/18/16,1.82
2/19/16,0
2/20/16,3.25
2/21/16,2
2/22/16,0.2
2/23/16,0
2/24/16,0.05
2/25/16,0
2/26/16,0
2/27/16,0
2/28/16,0
2/29/16,0
3/1/16,0
3/2/16,0
3/3/16,0
3/4/16,0
3/5/16,0.95
3/6/16,0.14
3/7/16,0
3/8/16,0
3/9/16,0
3/10/16,0.24
3/11/16,2.03
3/12/16,2.06
3/13/16,3.01
3/14/16,0.08
3/15/16,0
3/16/16,0
3/17/16,0
3/18/16,0
3/19/16,0
3/20/16,0.25
3/21/16,0.3
3/22/16,0.18
3/23/16,0
3/24/16,0
3/25/16,0
3/26/16,0
3/27/16,0
3/28/16,0
3/29/16,0
3/30/16,0
3/31/16,0
4/1/16,0
4/2/16,0
4/3/16,0
4/4/16,0
4/5/16,0
4/6/16,0
4/7/16,2.61
4/8/16,0.3
4/9/16,0
4/10/16,0
4/11/16,0
4/12/16,0.75
4/13/16,0.85
4/14/16,0
4/15/16,0
4/16/16,0
4/17/16,1.1
4/18/16,0
4/19/16,0
4/20/16,0.25
4/21/16,0
4/22/16,0.73
4/23/16,0
4/24/16,0
4/25/16,0
4/26/16,0
4/27/16,0.05
4/28/16,0
4/29/16,0
4/30/16,0
5/1/16,0
