Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,28.980000,29.629999,28.840000,29.150000,29.150000,17049900
2021-06-29,28.990000,29.840000,28.879999,29.770000,29.770000,14229300
2021-06-30,29.990000,30.180000,29.180000,29.459999,29.459999,19095900
2021-07-01,29.150000,29.417999,28.902000,28.980000,28.980000,17944800
2021-07-02,28.270000,29.105000,28.070000,28.910000,28.910000,27155700
2021-07-06,28.660000,30.450001,28.629999,29.570000,29.570000,25319300
2021-07-07,29.250000,30.629999,29.190001,29.629999,29.629999,19595900
2021-07-08,32.240002,32.470001,31.030001,31.549999,31.549999,36928700
2021-07-09,30.590000,30.790001,29.280001,29.430000,29.430000,23346300
2021-07-12,29.510000,29.660000,29.030001,29.240000,29.240000,14056700
2021-07-13,29.250000,29.700001,28.610001,29.590000,29.590000,22036500
2021-07-14,28.889999,29.959999,28.650000,28.910000,28.910000,27004800
2021-07-15,29.680000,30.020000,29.139999,29.330000,29.330000,32807300
2021-07-16,28.690001,30.620001,28.510000,30.549999,30.549999,26681300
2021-07-19,32.310001,37.040001,32.000000,34.910000,34.910000,79128300
2021-07-20,34.639999,35.230000,31.530001,31.969999,31.969999,35415500
2021-07-21,31.240000,31.360001,29.870001,29.940001,29.940001,24336700
2021-07-22,30.120001,30.940001,29.700001,30.469999,30.469999,24605600
2021-07-23,29.820000,30.440001,29.740000,30.330000,30.330000,23220800
2021-07-26,30.690001,31.059999,29.850000,29.850000,29.850000,20693800
2021-07-27,30.510000,32.430000,30.510000,30.860001,30.860001,39801200
2021-07-28,30.540001,31.420000,29.540001,29.990000,29.990000,30244200
2021-07-29,29.850000,29.850000,29.285000,29.490000,29.490000,15717500
2021-07-30,30.549999,30.600000,29.520000,30.209999,30.209999,21891900
2021-08-02,29.879999,31.540001,29.750000,31.379999,31.379999,22800000
2021-08-03,30.879999,31.709999,29.799999,29.809999,29.809999,28969800
2021-08-04,30.370001,30.490000,29.480000,29.770000,29.770000,17487500
2021-08-05,29.500000,29.540001,29.010000,29.049999,29.049999,18181000
2021-08-06,28.760000,28.945000,28.260000,28.299999,28.299999,19026400
2021-08-09,28.230000,28.549999,27.770000,28.010000,28.010000,20829200
2021-08-10,27.629999,27.930000,27.230000,27.530001,27.530001,17499600
2021-08-11,27.309999,27.530001,26.660000,26.780001,26.780001,19714500
2021-08-12,26.959999,27.049999,25.940001,26.240000,26.240000,18388100
2021-08-13,25.870001,26.389999,25.754999,26.280001,26.280001,16970400
2021-08-16,26.930000,27.480000,26.320000,26.320000,26.320000,32470200
2021-08-17,27.170000,28.559999,26.770000,27.200001,27.200001,52000600
2021-08-18,27.580000,29.315001,27.180000,29.070000,29.070000,38167500
2021-08-19,30.410000,30.900000,28.930000,30.014999,30.014999,73950800
2021-08-20,29.559999,29.709999,27.530001,27.760000,27.760000,34256300
2021-08-23,26.990000,26.996000,26.360001,26.809999,26.809999,23755600
2021-08-24,26.680000,26.924999,26.530001,26.709999,26.709999,16860800
2021-08-25,26.620001,26.760000,26.040001,26.129999,26.129999,14731500
2021-08-26,26.500000,27.580000,26.270000,27.250000,27.250000,35935800
2021-08-27,26.840000,26.850000,25.650000,25.850000,25.850000,26675300
2021-08-30,25.540001,25.889999,25.420000,25.590000,25.590000,18911900
2021-08-31,25.750000,25.969999,25.445000,25.490000,25.490000,15950200
2021-09-01,25.330000,25.549999,24.650000,24.820000,24.820000,19214400
2021-09-02,24.570000,25.260000,24.510000,24.770000,24.770000,24455800
2021-09-03,25.200001,25.430000,24.730000,24.940001,24.940001,27318900
2021-09-07,25.120001,25.791000,25.090000,25.549999,25.549999,23409000
2021-09-08,26.040001,26.450001,25.440001,25.510000,25.510000,28293800
2021-09-09,25.719999,26.170000,24.959999,26.049999,26.049999,29233600
2021-09-10,25.150000,27.219999,24.920000,27.059999,27.059999,37098500
2021-09-13,25.889999,27.309999,25.760000,26.090000,26.090000,45584900
2021-09-14,25.700001,26.900000,25.510000,26.459999,26.459999,41913400
2021-09-15,25.969999,26.540001,25.240000,25.430000,25.430000,33428400
2021-09-16,25.580000,26.180000,24.905001,25.180000,25.180000,36471100
2021-09-17,25.299999,26.900000,25.129999,26.809999,26.809999,45550300
2021-09-20,28.920000,32.410000,28.250000,29.740000,29.740000,101854800
2021-09-21,28.900000,30.379999,28.209999,28.860001,28.860001,54071600
2021-09-22,27.920000,28.309999,26.490000,27.070000,27.070000,55003800
2021-09-23,26.200001,26.249001,25.254999,25.360001,25.360001,47090800
2021-09-24,25.980000,26.030001,24.530001,24.580000,24.580000,34217500
2021-09-27,24.740000,25.049999,24.370001,24.820000,24.820000,26043900
2021-09-28,25.870001,27.980000,25.629999,27.410000,27.410000,76194000
2021-09-29,27.240000,28.040001,26.910000,27.809999,27.809999,45598200
2021-09-30,27.070000,28.325001,26.440001,27.830000,27.830000,59459300
2021-10-01,27.230000,28.190001,26.150000,26.820000,26.820000,42129500
2021-10-04,26.850000,28.500000,26.610001,27.570000,27.570000,56766900
2021-10-05,27.340000,27.549999,26.040001,26.549999,26.549999,32795400
2021-10-06,27.190001,28.280001,26.150000,26.209999,26.209999,52529900
2021-10-07,25.770000,25.770000,25.180000,25.260000,25.260000,27069900
2021-10-08,24.950001,25.190001,24.600000,24.790001,24.790001,32690500
2021-10-11,25.000000,25.139999,24.150000,25.120001,25.120001,26813000
2021-10-12,24.719999,25.190001,24.340000,24.610001,24.610001,24718000
2021-10-13,24.480000,25.010000,24.070000,24.139999,24.139999,38537400
2021-10-14,23.360001,23.490000,22.790001,22.809999,22.809999,33950900
2021-10-15,22.610001,22.940001,22.180000,22.790001,22.790001,29412600
2021-10-18,23.150000,23.209999,22.330000,22.370001,22.370001,21147900
